Country,Region,Year,Water Source Type,Water Treatment Method,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Diarrheal Cases,Cholera Cases,Typhoid Cases,Infant Mortality Rate,Access to Clean Water (%),Sanitation Coverage (%),GDP per Capita,Healthcare Access Index,Urbanization Rate,Rainfall,Temperature,Population Density
Country B,East,2020,Spring,Chlorination,8.825341177270097,8.332537359461348,7.946418268136256,10.399839588232572,32.33286819586113,4.777145614988772,437,85,16,29,43.28090210518976,59.51298893316573,86.44511395479523,16306.739388020838,15.31351419410002,52.58693926964,2833.6343331829603,30.312185291140846,223.6256718409349
Country B,South,2021,Lake,None,96.01967232139926,7.880973442015522,1.2165277800908991,11.167087723986198,14.43235137017414,13.918853137679557,135,21,11,28,18.95030143112924,75.35300775597102,82.48833561739022,13282.38314265642,9.372310864624488,83.51863979015951,1444.5195374543327,14.049817089595164,372.51748997823694
Country A,North,2018,River,Filtration,9.566693600953592,8.983057971271538,3.570292877267981,10.863153846114102,37.94612854990753,13.909005981461853,382,70,12,21,21.444298878446965,44.87145023342353,44.27674796627856,2815.2780186837535,57.855062412456896,18.303188537242725,2644.9754587919665,25.607648745812057,4010.833379455697
Country B,North,2019,Spring,Boiling,42.37011291569199,8.92247938062713,0.2398166421420389,9.911710575692162,13.311637312428315,18.543838285439143,229,34,18,13,30.066361684133785,81.32139590913485,98.838080681784,10970.839169992409,7.742062732531174,17.56175340166207,2309.0284272492245,21.91942831000314,273.2445580557352
Country B,West,2018,Spring,UV,83.906581533979,7.822724290514872,6.357845644738804,8.775796322274793,35.101400214030186,1.9742928439708596,382,28,12,20,6.012797843149592,64.11983514505297,84.84397103395659,13427.451242801126,57.563024025437684,53.74632779481426,2101.405037514086,39.336850697371005,1672.198059578507
Country B,East,2022,Spring,UV,41.92750532478288,7.454475449574649,3.518952806340687,10.236113722038485,3.4607461229656744,4.535333369928393,431,75,12,21,48.95771956326926,65.06322287116703,86.75924849079004,1414.651161328726,4.922948099437885,19.076192473567346,1498.6619322108277,22.424431541786255,3448.0018059823324
Country C,North,2022,Well,Filtration,22.77009354468891,8.971526121315767,5.751765371095771,5.504067757515253,38.38757100751007,15.856716655362543,333,89,4,15,31.84654458462483,80.87870157944232,35.17933615441102,8415.816210040459,77.25645596856175,51.02707301669487,747.248817293122,19.77190548308687,3633.0607238258776
Country B,West,2023,Piped,Boiling,32.15781214290448,5.670666802818145,1.72517504208899,10.283490094194505,20.739635870789137,17.444480301090998,459,51,8,23,9.909732489347173,82.93019097796186,91.6784953241005,11047.710997225719,47.355835065280814,17.696624401767522,1681.4364129807009,28.8612747062688,1686.9838774932584
Country A,West,2023,River,Boiling,64.61012850682141,7.865598300374129,6.005240772659096,2.005388024974411,6.089768338999368,19.16400414351344,319,81,12,20,49.67849397916883,50.94836014781575,72.58772054692656,18562.566012694453,93.33889299630277,74.17713563102136,791.9034513021965,16.64027835207858,362.8475079748417
Country A,East,2022,Lake,Boiling,54.063864711793855,7.309121274941292,5.859873063530547,2.020356659711658,28.14613140093978,18.093725081735933,258,37,8,25,23.650092183581528,54.02411907891007,56.24766708946035,2892.3135306167546,3.8298977507209897,69.38822301541138,1448.5345641028762,37.76367495889251,2932.753377965898
Country A,East,2022,Well,Filtration,56.41604090086053,8.197638582803116,6.910916399571146,4.788778748521238,26.700594792101384,6.55504071289837,390,30,3,7,13.253823749899174,57.63102825127497,63.7970733191206,3070.9083570307307,9.779358097675084,12.997982238027976,1837.3361417204576,23.61516223397208,1332.7436798177864
Country A,Central,2019,Lake,Filtration,64.3000242066406,7.200491419484232,6.735632163370732,3.530423802472143,31.18665434176211,8.114459106643057,130,27,14,0,46.7845315520162,81.66894095951136,71.0795475605745,8858.378898564939,96.30335839722342,37.98250408716159,1668.9654940760252,11.329744651913957,2279.3933219369
Country C,East,2020,Lake,Boiling,21.62941770085264,6.140082763727282,9.987975948834102,3.2984174285330505,30.355232709203705,9.976403554199214,355,50,1,26,20.948777924071738,93.92336864625099,60.85559368509003,12276.348394820716,93.41285799981473,60.893416342025034,1254.793584827119,34.7278059154994,4965.342248472921
Country B,North,2018,Lake,Chlorination,44.551258805051475,8.419024066817293,2.96820910214741,5.016879407502675,16.27701750232286,18.976859735688084,333,96,7,21,0.5810805342446435,69.95781495899638,61.70339858349366,11935.9473366912,46.694114867142034,38.1009748077571,2350.4889482239187,12.988167532357574,4943.767750177863
Country C,North,2023,Lake,Chlorination,52.36783602729266,7.762057673376229,2.6431336773845304,11.421808217608591,46.25298454362908,18.75590708155823,444,128,8,14,23.59765544953603,62.20054036486279,42.004865950832034,11191.370580967401,49.447557720601885,39.2889675842906,897.6830720437647,32.67397745684893,4217.838252961081
Country A,West,2023,Spring,Chlorination,73.9567925638286,8.418570811335213,9.623403816912916,9.33865438527715,19.458664724419826,2.192145430268122,388,103,15,11,42.85099927436315,89.7909046032068,83.695957039048,17287.776771134202,14.3665660727873,81.4811496949081,1000.1918208086518,12.27111404649111,2600.625475853552
Country B,West,2023,Well,UV,22.163193311850684,6.580423171597483,2.1852663496008096,2.857292227644464,43.209012881412754,18.762843974475384,324,60,14,23,33.004425864218994,46.65852795536699,57.09443452721935,10423.242432959103,34.99671159513883,34.26333783727442,2786.3030221881204,25.46779808349785,4971.697119900971
Country A,North,2021,Well,Boiling,74.30044403091827,7.4921982505686735,6.300691727303173,10.860606556414062,10.034896961201905,8.52175526391818,279,98,4,8,7.5850154676619095,99.34429641972271,58.087212535081186,17640.9219076166,98.14982652783536,88.85206164846494,1073.5863624024637,34.81901681908523,1491.3739857801186
Country A,North,2022,Piped,UV,5.857057610100391,5.508776385723694,3.3811293655655152,11.094505175751497,28.875763779901696,15.926482948854652,266,66,10,12,15.15214574121787,98.38564524504068,92.22949209427108,9874.570682706244,18.724018826652756,45.606574182838095,1406.780175888689,23.157957653405667,2124.809627462085
Country B,North,2022,Spring,None,81.35129631516355,7.405184749862564,2.7452805115193204,5.653668909132381,2.14427040288932,13.802807940451334,475,105,10,28,34.78853044055516,41.68428158245565,86.95418310483095,11806.847511285958,53.57315574413285,79.7356572442132,1333.4996215881363,12.612341962528932,4663.318832802595
Country B,South,2018,Piped,Chlorination,22.808313167420913,6.806680260065409,2.3504542527908745,10.705655723660605,27.645885389908976,14.112248295983802,315,31,8,12,2.3848793592135706,69.88015858064054,88.15119993867934,14854.798975241845,22.566415358223068,64.27304440954576,2749.9968836371345,11.441069552497153,511.9568374518089
Country C,North,2021,River,UV,1.8053537497744854,6.785154475122879,2.9554254325416807,3.8015315332505235,39.15393690108095,2.073945928903629,188,80,9,8,46.20304313850392,76.21014299197788,47.21036536747529,1031.6051711231125,92.15469379809223,35.44035641194298,2814.898474403409,12.755731372684798,1980.7697918352433
Country A,West,2022,Spring,Filtration,90.85012136127145,7.578300695323694,5.942606842721848,6.701488854867079,21.79240143599627,4.341750900126941,47,34,4,18,3.919966867798319,71.93259691204628,87.0561284992956,13847.04895901072,52.89546221849319,61.09092237369828,1965.5303043807648,29.229551231769634,4794.7457814245345
Country B,South,2021,Piped,Filtration,80.37462752633027,6.473583507145669,7.6090569740778715,3.817659620511012,6.24980610992294,10.460478708016076,382,94,15,1,45.41760528475179,80.94186473172005,38.870263419076295,14879.071773133637,38.95240939917966,21.42375626202054,1675.3422906533667,17.956163934129613,944.8696484137616
Country A,North,2018,Well,UV,26.62757577214525,8.474497321606332,3.095173852023305,9.772249076400655,3.25757705534539,8.0439546537359,62,20,8,1,44.14253181060402,44.31544366278433,86.73740428652442,8651.084454133474,46.16772874472893,30.718542371614255,1284.4882078532553,29.21626608153337,1052.9493898378907
Country B,West,2021,River,Filtration,88.89494577276515,7.08473459050492,5.39723154233386,8.723358385375269,8.4502636176353,9.356021373936574,35,15,17,24,13.177379723323984,99.99226932768488,31.62336603200486,4721.29749365562,17.94401661746221,79.8259581217884,1532.9767947263447,31.420328198559623,2307.0179115384994
Country B,West,2020,River,UV,13.272845322467274,6.987188428623776,9.282356505864522,10.601123847507402,44.895348953366934,11.328207278788962,135,61,19,18,5.538982159004413,76.03826545693545,33.063529028385695,10965.740985795743,47.52056859109798,84.50813146613567,1836.3811362572228,23.408867728866014,1123.9783845865477
Country B,Central,2021,Spring,Chlorination,69.43448405675812,5.508605191276359,0.6858087388586798,5.998350908625761,27.55932878710646,7.94985059986119,395,35,1,14,49.402382814103206,42.50350318961699,47.953352103664166,19157.15645685533,68.83921102627926,61.70718851562965,1784.5383568913544,39.56823938517033,4887.711356619448
Country B,West,2023,Well,None,31.422096986515115,8.675385992591554,5.001178937535434,8.567712064191667,34.657142030183344,10.907128711482386,133,74,18,1,7.394661050016138,49.2661201443191,78.67880553822003,5117.540199165081,73.8947250181629,10.83130209493019,590.0705931237128,10.376293644206509,2776.1235282088755
Country C,West,2019,Spring,Boiling,48.058588928743106,7.922417008322348,0.04370212879918456,9.357765616304029,42.488659521298345,18.359372640146614,405,101,12,1,6.1937782922392435,43.46393057080432,49.46157532284008,12108.150495304715,60.26235125126649,48.28342119765231,1181.6488700248094,35.65108107240397,1657.143995389531
Country A,West,2021,Well,UV,31.908531503132266,5.954104655539353,0.9372944339032163,10.292072917287687,5.422077891258736,14.00369022511757,444,43,6,12,38.916804999366676,84.18892309367689,79.20661209171128,7173.289852372632,60.61985668328971,46.75984254947302,2801.834609953081,38.21482060851217,3118.8475750983926
Country A,Central,2023,Well,Chlorination,30.081632749725717,5.422924434076661,3.4275023465738395,8.084725818137258,48.668505750686236,12.131345793342405,290,46,1,10,19.44681299650195,82.62402548546834,73.6906428605109,1504.5010072027421,88.32530170902965,63.60044852282577,1714.1168131585048,23.80383018603222,1200.0475462618137
Country B,South,2020,Spring,None,79.4141492723465,6.496582508348184,6.956926420516865,5.6929357116512,25.20237005631528,7.739030546822557,60,83,18,23,6.1698952715912805,97.61662127131741,33.20888942550772,1768.7286971008216,42.06102185206368,68.03495177311264,2247.4052950411115,18.832484487204752,1414.956645726918
Country C,South,2023,Lake,None,87.02056802652429,7.657099453020597,7.664241002158686,10.826566472234376,40.80076937897441,9.68460291235959,184,50,17,13,43.83523632899354,46.26530412200166,81.47460000305462,10408.092897759756,98.40921791819387,76.50104971727171,703.3851876024884,24.225924803348104,3213.0317162836504
Country A,Central,2019,Lake,Boiling,35.6299072229348,8.713803489760346,4.059264713537612,6.778759125309917,29.447316886961243,3.4281485598006434,184,83,14,23,35.66717596762757,50.86110343874063,72.24076490666312,11363.754071784986,84.68924703689972,70.1938268885155,2936.7432068957432,19.703271285140303,1063.9879170227996
Country C,Central,2018,River,UV,36.71391373137143,6.6965481463869425,1.8941181562956855,6.202262463847573,22.561510819357235,15.869274864699836,464,70,15,16,27.98227562989583,76.29892102856111,42.39852259394283,4094.3463044859163,23.821597887810587,41.698331432263345,1756.6971804213824,13.076011371759815,3486.3592859493083
Country B,Central,2020,Well,UV,74.25421963094962,6.261368090785936,3.108118462064433,3.569253021113217,17.93004784024012,7.7101042270150755,120,31,9,13,37.12307076179286,49.58709989893871,88.23970452545015,13355.094708179657,82.41080002906291,58.12807702189872,1757.6947770067932,11.08349945476563,1455.987569853648
Country A,South,2023,River,None,95.63941288393856,7.650964523720003,9.175998476272405,6.021330480930913,47.138986762114165,7.52805383737821,174,44,14,5,43.62322205916969,65.87618350140761,94.97156967138079,2184.506502984743,34.20948283447899,13.898139623707157,576.1088814518668,28.32371111447782,1921.8079139592912
Country C,Central,2021,Piped,None,27.78212081675434,7.161523729899624,1.5842279733784537,5.911925743312113,33.62526993945781,11.9892770798291,200,100,12,15,38.28135693070172,98.34999882095116,74.42111950565675,15771.220484228916,94.78243955288904,18.363832041632815,2433.49745239564,17.420845467282263,4771.268356293949
Country B,East,2019,River,None,8.680452655346095,8.088565954678597,2.6692194837881864,2.6019317183242334,13.025640690786917,11.52566636691894,72,36,19,0,20.26202751981352,61.06246568643734,80.20034758651074,9282.456550486739,49.20798310095139,64.71927917589178,1808.9129488660087,39.11550645069578,1332.4940544086653
Country B,East,2021,Well,Chlorination,80.00755805051169,8.284150819894034,4.6800072287509025,3.168455612184837,15.162584962809305,4.640896839230495,222,51,16,2,25.3092025711157,55.758714720309825,47.09239703935636,1738.782696317283,24.966372486262344,81.58082512738699,2904.736542810234,38.9014183125429,1449.5567577300249
Country C,West,2023,Spring,UV,89.78144215591244,8.131049365791341,6.729206828290217,10.167747475602102,16.659582971279512,1.9566345920368744,318,39,18,2,43.18342388768951,93.70470324982232,50.11284366646204,15286.522176902348,82.33457004445772,78.55426677936993,2947.528204132064,19.058274283792493,3223.399677604477
Country C,West,2021,Piped,Boiling,62.695835034363625,5.358980588109217,8.939053679655535,9.592342815326452,1.9466566630933102,16.890640457704144,263,30,16,13,16.47773903734408,76.2523644040901,91.57813166733442,11359.020609921297,25.9283795588653,78.7450203207145,2352.8496299473,36.258823028335385,3537.217549945288
Country B,North,2020,Spring,Filtration,68.48546604557036,5.203520168044571,3.974093789513099,7.489293619472192,36.89876996814498,17.38573206253202,215,39,11,23,12.61927561513474,79.40009176875064,93.02427398335247,11007.383032309406,91.66006333798154,67.31289775716056,1545.7020221964142,29.5555206269144,2732.7317826012463
Country B,Central,2019,Piped,Filtration,80.04143482537603,8.821079834104088,6.604386373732308,7.385293391294242,9.865008292247712,19.330677856040268,356,59,9,16,31.147879969830495,72.66503506524629,79.30258745427444,19461.467070174484,21.346027012922477,29.525073564305142,1480.2236977818015,29.631209366977316,960.3956218872135
Country A,East,2022,River,None,27.389365763001294,6.794965712341259,0.4262212803639165,9.183999966286372,33.55786274086003,3.519696040238185,315,76,0,22,48.16653681519444,40.65566148516413,49.683067395426264,10194.018136446148,1.6359071385149027,16.659169388695876,1566.1407670734764,35.51859107741095,223.2569560561852
Country A,South,2022,Well,Boiling,74.75166977264387,8.567013308717534,5.145805638900537,7.387242819313104,30.562081878218848,10.06686653717863,194,25,11,14,4.197236563156564,76.71057968440148,80.08338075596299,19487.50308073788,40.09866030932694,34.73271984516491,2171.509438194901,25.080010427571075,1100.5898428614094
Country C,West,2019,Piped,None,17.82346289793526,8.99390355798222,8.658581350194405,6.199803430969177,16.340953085316983,17.50236768427459,189,19,0,24,24.289605196512888,99.54027752583954,75.96521438997023,16988.501929908645,95.82446334129105,24.060352921901647,2103.043366777065,37.32731994580958,3788.1067241619608
Country B,West,2019,Lake,Chlorination,9.03141504092625,5.018639531259208,9.881201237794578,9.751005187736832,43.332001552783325,18.463295153932872,204,89,9,21,10.437705978387163,81.78459824290145,55.06535920063099,18934.844125949407,6.833222156877195,67.0874485241133,1972.580492156715,36.61780526532072,784.6330447028365
Country A,West,2020,River,Boiling,12.448482265017024,6.97060911650863,7.7108178139226355,5.5043332045709885,43.99184709241591,6.41111838595797,248,37,0,12,6.159165963943663,98.95412257179571,77.04946351861625,11580.579345938571,73.23982100878005,83.46122270931077,746.9616019778567,32.010673925218654,3256.0666233000106
