Country,Region,Year,Water Source Type,Water Treatment Method,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Diarrheal Cases,Cholera Cases,Typhoid Cases,Infant Mortality Rate,Access to Clean Water (%),Sanitation Coverage (%),GDP per Capita,Healthcare Access Index,Urbanization Rate,Rainfall,Temperature,Population Density
Country A,North,2021,River,Chlorination,68.12769449744542,7.211324301551105,3.9823142013730353,5.023880847436645,41.08241912783683,5.29996002724001,120,59,7,19,1.5891909559368145,47.474128256589395,51.21881328302993,15290.436223900004,15.714286578507963,17.5047641782415,942.5329623600801,24.14939806201096,3831.6237049755073
Country B,East,2020,Lake,Boiling,38.574309279711436,8.703819880046437,6.985946884973687,9.031024946027307,3.189553340499679,12.367728082380117,403,44,11,27,12.667996296589317,99.14311780249633,80.99179562751881,9577.992316176746,37.931446266148804,40.9888797191518,1604.5487051194111,34.58593755481854,1832.63321511781
Country A,South,2020,Piped,None,19.371457553895432,7.792477567833626,8.533355135182871,8.443921451168556,37.42535595768015,14.218234086350032,399,86,5,2,42.64914996722752,47.737061512601386,77.64428768014491,10773.494604395037,99.9619057551981,11.570795171583574,506.8496243943922,23.07501354801445,764.2435470489798
Country A,East,2022,Lake,Boiling,76.40496862534711,6.839605372070581,5.254405606671567,9.009529552583619,11.366014556054338,0.5341107659962563,165,99,14,19,41.2615489824362,59.86553936284247,91.19127288468201,15033.07562902624,79.09281872983985,34.6706819970107,2031.5017961377762,33.84796153773789,418.80285618813053
Country B,East,2021,River,Filtration,29.90010633275091,8.951028229116595,2.666657817080748,7.684143270858804,21.955995353352954,2.8864206745182353,412,62,6,24,24.494483589447558,88.79754242633089,95.37986586774136,15680.551322740326,35.611284503732655,87.34967294948034,1589.352926976794,37.29870758617317,1952.9047381417859
Country A,North,2019,Lake,None,57.10409611448336,8.078251792713882,5.711447554370035,3.2950971240475404,34.07165585657918,12.272477053199896,199,89,16,11,10.203558306739897,85.64879131082951,55.04174631392798,7144.884326130042,96.27494026398212,66.5903884514733,1646.8039568014535,29.542195945197204,4586.086689428404
Country B,East,2022,Spring,Filtration,70.94638514318243,7.786263820928806,3.0169388170979152,7.962314054233005,6.751232928349088,15.36359842812169,179,45,9,23,16.987143983489005,78.73150427125455,79.83181151663288,3987.6802417261656,31.609535622597317,47.44605479030075,934.9665937852557,15.430736945081318,1663.0265726737427
Country A,West,2020,Piped,Chlorination,82.63565600855198,7.794736759771215,4.154375056751506,9.360872083345203,12.13170802179514,12.348820423799513,317,46,15,17,49.11262430522213,44.35932550864387,37.65337471300037,11661.60924951277,21.553229013255393,27.344618655662998,1873.4305599458128,22.685539801541594,1032.6242177713152
Country C,West,2020,Spring,None,40.923382245268215,7.278515966351679,1.6867991816384043,7.440038147996886,7.841172748592956,19.731204994856167,360,63,6,12,46.1882594855012,98.23491774146609,47.81919229374182,9846.411629887549,30.27862178370675,70.88694096881193,1304.6134375879838,19.242566404671237,2438.034311220018
Country A,West,2018,Spring,Boiling,58.225487685227485,8.16978385353747,4.123978578241777,10.51817112588659,35.08627980777742,11.685460012134424,168,32,2,18,43.855136770918115,52.08573033953605,30.946688346614927,17056.295981922507,18.362947945660903,74.80415648277607,1654.5569629842757,36.83782804757515,174.69897975358114
Country B,West,2018,Piped,Chlorination,0.5959996555381819,8.754572025429885,9.832575862509454,3.451335026896597,27.56276735728455,10.64275589043277,220,57,11,0,49.081432939011236,40.36228942847783,74.4183116960817,12755.645376385519,78.58531713069588,13.70596196337388,2749.07017679044,24.18084003676013,4800.05892790158
Country A,North,2019,Piped,None,37.11975043816519,8.86178893827885,9.624021697821906,8.156965985178356,37.212163640173365,4.215778752162203,273,32,2,3,27.78104189770243,83.67731991458598,91.96640146287083,12542.791249012225,15.363118452894264,58.65504067775345,2511.7610756277163,28.419089288993195,4327.738758357816
Country C,West,2019,Spring,Chlorination,53.81662588217323,7.383280970249874,3.6763471532322556,8.934439351694905,12.599516532158962,5.3146235299720335,202,42,16,15,24.871442075038214,67.41049497010121,79.2316225203115,8912.664044533953,91.13052906616038,14.153059789519018,1110.447502584988,26.050196344724455,2862.8392630090216
Country A,South,2021,Piped,UV,57.695657058322915,5.846413094448247,0.2530788410940399,7.5674201207730265,33.47911040785276,11.720549346235401,77,51,18,27,28.174996117142875,71.26745106533087,41.51666656802519,7463.629240576157,99.19664520559185,78.26265402668878,1970.363995582397,38.722990844602705,1705.0287711880433
Country B,East,2022,Piped,Chlorination,9.612317156071038,5.395072520376092,7.508201744263005,4.035495637867772,1.7150401944372062,16.30128937915179,251,78,13,10,37.10388461809418,77.80231224609608,61.906642009927566,11615.596873263512,62.150967791589984,57.85630176622356,2413.5953024974297,25.1547262016788,2898.5119724856245
Country A,South,2019,Well,None,16.273326072301952,7.9316966546111445,4.172455245442018,6.205937319183464,6.002567461018504,0.10907908371221797,210,15,5,28,30.362525459727006,54.889478176006456,94.92015938924538,16210.250675750296,64.74548468392467,52.95678216805114,2656.7298234506284,24.045116016495257,3482.4012497515027
Country A,East,2018,Well,Chlorination,10.578120325760999,8.15357735109582,7.886741396023631,7.809860014279332,37.917171057324204,2.052191321968757,74,5,14,24,16.367764587342233,85.28279582988992,56.47514391871457,2615.4462393811523,13.460866593273336,20.382132141573585,1737.7581403220518,22.078602549726092,909.2921883523496
Country C,North,2022,Piped,Filtration,44.61395079331418,7.056885691148632,0.8975438630339616,11.772561218359549,15.32751083863355,2.260304791208654,364,63,10,5,11.509504366018298,83.54967306973131,45.92968940999174,7203.785581417835,26.16139711415889,51.81660038158624,1779.7505796627572,38.219615077119,1144.388387753237
Country C,Central,2019,Lake,None,81.68161643004382,5.460286215977398,2.728695177010103,6.5758508791943555,17.31784455767386,1.4291941507790495,180,96,19,29,39.6177731079436,46.853027113189476,77.48571065012544,2689.09481736176,70.11179032375001,64.13045728260656,2556.5445255005347,21.962102991017055,3270.0620277565167
Country A,North,2023,River,Chlorination,94.66885187145817,7.537776851896025,2.667376491388902,2.983442416077845,28.816071950650503,6.5036959105253045,382,61,19,4,8.134670387748272,94.02966243588284,57.92947009737475,6470.860674536738,45.602823310744256,16.98498811876176,1496.8711948362718,31.69628069570595,684.0129308587758
Country B,South,2020,Lake,Chlorination,49.1304220976233,8.606532507327035,8.77114382736879,7.493446935656147,24.773521539514437,6.277527301012342,428,67,15,12,43.01184618018781,73.59066016756894,35.641228153156234,15856.634609476088,30.396377481096437,20.712234524235235,2555.063881036771,19.831940907964402,1897.1468266669885
Country C,West,2020,Spring,Filtration,77.30644244894033,5.388799608589409,2.6970487221759143,3.84769676509367,21.27183581129104,17.768969655653645,40,27,3,25,20.662266821479648,53.044700913963496,69.43339012081626,1518.0588053487973,72.88498676726327,82.18928426265654,1900.2231510985105,15.030238149075458,1390.4071516847712
Country A,East,2022,Lake,Filtration,40.64576866270655,8.807996308057342,0.47410165221249856,4.275278953677077,25.266353533841567,4.335639057951301,386,37,11,1,9.023609114804366,83.41505229073385,71.26660247994616,3952.899526990767,0.7433475975360926,79.9016414556763,1169.063764836339,32.28112574745491,1531.0254203000993
Country C,East,2018,Lake,Boiling,39.90796185308769,6.689174777802176,8.239687684602687,7.702389134324458,1.645172200022943,6.250006490206513,171,70,10,14,26.22005981800574,48.66756198017963,35.984815620903994,11359.43890286306,63.67220625021426,14.1780692722336,2152.9267697145315,21.891170432378683,3828.7761213117487
Country A,West,2019,Piped,Boiling,24.347474318053266,6.761011280220179,5.918440924651699,3.6874064909423603,0.42617802230049406,14.075413399066111,420,54,9,10,30.29971698136936,83.35715188657862,41.62994038671107,2660.6817891309556,50.37614943472206,61.453647664915614,2403.368713225006,22.079840374631917,3655.9298560174952
Country A,Central,2021,River,None,58.44647546046535,8.461580863828704,0.7431006613454372,7.359450451082532,24.500553411646553,17.706772899721418,145,41,4,27,29.195464127225918,84.49681055812361,45.81398690157144,4801.4057553947405,76.8335905224922,11.50845195739036,2786.627288638475,20.95441577615328,2940.1960799742624
Country B,Central,2023,Well,UV,77.45510796855257,7.191203864527646,4.588031626416161,2.3171308964304718,31.826978644155023,11.920615315023142,373,41,5,20,38.57582826218084,77.14914760024755,51.892544996349905,19695.047171101214,55.43308032165911,11.883913958549579,2114.4536130906517,32.28770192255568,3894.543548244502
Country A,North,2021,Lake,Chlorination,48.28779002246044,5.920770772007847,5.924035846322787,5.007328942469267,2.050835199588208,13.27209859122939,455,36,17,17,40.294594642167446,77.87309394493298,84.63413213210961,1293.359994535751,61.61206670889703,39.34519984953244,1291.279343751659,13.998866501896554,3334.6272972724414
Country A,East,2020,River,None,20.25055008842277,8.706075001690275,6.629378018699437,5.201735434052181,33.424506214803145,16.084037420362925,420,125,9,0,5.778542888925648,48.6181109567569,69.81488455580376,17164.44189255138,85.26413294824417,80.38513664978315,2706.546722015206,15.44104737241547,4200.069960513723
Country C,North,2019,Well,Chlorination,87.98074877304964,8.835062085456514,9.18357873935869,9.488824450868147,10.052162557724692,9.092008377205023,273,103,8,28,6.933092301704153,84.8541529828667,36.84249971501341,16295.887907399308,34.01590260938799,46.8230356627189,2614.9639218285456,15.341342232951346,938.853738379406
